scenario,query_number,query_work_id,query_subjects,relevance_mode,total_relevant,precision@10,recall@10,mrr@10,ndcg@10,relevant_found@10
keyword_only,1644,10.1093/mnras/181.3.375,76E20 85A15,top-level,205,0.1,0.004878048780487805,0.5,0.13886244387355454,1
keyword_only,1645,c9ae551c32f7a18543d619dadcb571d1c9bf8d69,76-02 76D05 76B47 35Q30 35Q35,top-level,356,0.8,0.02247191011235955,1.0,0.8364586133797037,8
keyword_only,1646,10.1017/s0022112072001399,76T99,top-level,165,0.1,0.006060606060606061,1.0,0.22009176629808017,1
keyword_only,1647,10.1017/cbo9780511613203,76-02 76B03 76B47 76D03 76M23 35R35 35Q30,top-level,356,0.8,0.02247191011235955,1.0,0.8389574121760602,8
keyword_only,1648,10.1063/1.857955,76F65,top-level,165,0.3,0.01818181818181818,0.25,0.2435522702101235,3
keyword_only,1649,e57418901c474d45105262c07cbff41e6859e308,76-02,top-level,165,0.0,0.0,0.0,0.0,0
keyword_only,1650,13776dd851174fe071a02e37db2f628f693466d4,76-02 82B05,top-level,217,0.0,0.0,0.0,0.0,0
keyword_only,1651,ba0ef5c059050f2950d6a1c205928f1fb5a2eb87,35-02 35Q30 76D05 65M99 65N99,top-level,483,0.8,0.016563146997929608,1.0,0.8200685179888283,8
keyword_only,1652,10.1016/0021-9991(89)90222-2,65M20 76N15 35L65,top-level,483,0.8,0.016563146997929608,1.0,0.8603818544462509,8
keyword_only,1653,864a6a18e769838b0ad61a405bad7cc50add060f,01A75 76-02 76-03,top-level,375,0.6,0.016,0.3333333333333333,0.46111430781719354,6
keyword_only,1654,0f5fef761d673fef3a7d709c0b21b5e3bfac005e,76-02 76Fxx 01A70,top-level,375,0.1,0.0026666666666666666,1.0,0.22009176629808017,1
keyword_only,1655,10.2307/2005997,65N06 76B15 35L20,top-level,483,0.8,0.016563146997929608,0.5,0.6947651160602989,8
keyword_only,1656,10.2307/1970699,76D05,top-level,165,0.2,0.012121212121212121,1.0,0.3589542101716347,2
keyword_only,1657,10.1098/rspa.1950.0035,76A05,top-level,165,0.0,0.0,0.0,0.0,0
