scenario,query_number,query_work_id,query_subjects,relevance_mode,total_relevant,precision@50,recall@50,mrr@50,ndcg@50,relevant_found@50
vector_only,1,10.1080/01445349008837160,03A05 01A60 03E30 03-03 01A75,top-level,415,0.78,0.09397590361445783,1.0,0.8162110256674828,39
vector_only,2,10.1112/plms/s2-30.1.264,03-XX,top-level,233,0.72,0.15450643776824036,1.0,0.767648132580327,36
vector_only,3,10.1093/jigpal/8.4.383,03-03 01A60 03G15 01A70,top-level,415,0.36,0.043373493975903614,1.0,0.4266234567126762,18
vector_only,4,10.1090/s0273-0979-1989-15750-9,03D15 03D10 03D20 03D80 68Q05 68Q17 68Q25,top-level,636,0.96,0.07547169811320754,1.0,0.9722256287057546,48
vector_only,5,10.1137/s0097539796300933,68Q05 68Q15 03D15 03D10,top-level,636,0.48,0.03773584905660377,1.0,0.5438955363961736,24
vector_only,6,10.1016/0196-6774(92)90052-e,68Q15 68Q25 03D15 68-02,top-level,636,0.98,0.0770440251572327,1.0,0.9862624056311926,49
vector_only,7,10.2307/1968621,03G12 81P10,top-level,788,0.64,0.04060913705583756,1.0,0.6819437059116301,32
vector_only,8,10.1007/bf01696781,03-XX,top-level,233,0.86,0.18454935622317598,1.0,0.88841273379295,43
vector_only,9,10.1016/0304-3975(86)90044-7,03B40 18A35 68Q65,top-level,979,1.0,0.05107252298263534,1.0,1.0,50
vector_only,10,10.1002/cpa.20084,03A05 03F30,top-level,233,0.76,0.1630901287553648,1.0,0.8155782503809935,38
vector_only,11,10.1016/s0165-0114(01)00032-x,03E72,top-level,233,0.64,0.13733905579399142,1.0,0.7229894324065566,32
vector_only,12,10.1145/321386.321395,03D20 03D15,top-level,233,0.48,0.10300429184549356,1.0,0.5003517968231724,24
vector_only,13,10.2307/2964292,03D20 03F40,top-level,233,0.8,0.17167381974248927,1.0,0.843158029142417,40
vector_only,14,10.1007/978-3-642-27473-2,68T37 94D05 68-02 03B70,top-level,903,0.94,0.05204872646733112,1.0,0.9461862000031417,47
vector_only,15,10.1090/s0002-9904-1956-10036-0,05D10 03E05,top-level,700,0.46,0.032857142857142856,0.3333333333333333,0.43281779328389214,23
vector_only,16,10.1016/0168-0072(88)90025-5,03F99 03B40 18A15 03G30 68N99,top-level,979,0.96,0.049029622063329927,1.0,0.9694714826030988,48
vector_only,17,10.1016/0022-247x(86)90093-4,60A99 60D05 28B99 03E72,top-level,1005,0.78,0.03880597014925373,1.0,0.8275688320215514,39
vector_only,18,10.1007/bf01001956,68T05 68T10 03E99 68T37 62H30 03B52,top-level,992,0.78,0.03931451612903226,1.0,0.8284897893425547,39
vector_only,19,10.1016/s0898-1221(99)00056-5,03E70 03E75 26E50 28E10 03E72 91A44,top-level,1106,0.9,0.0406871609403255,1.0,0.9082787585484109,45
vector_only,20,10.1080/0144534021000036683,03-03 01A75,top-level,415,0.26,0.03132530120481928,1.0,0.31597443724917834,13
vector_only,21,10.1080/03081070512331318329,03E72,top-level,233,0.68,0.1459227467811159,1.0,0.7462267689905524,34
vector_only,22,10.1145/278298.278306,68Q15 03B35 03D15 68Q25,top-level,636,0.82,0.06446540880503145,1.0,0.847530775742306,41
vector_only,23,10.1016/0022-1236(86)90015-7,46L05 46M20 03B50 03G20 06D30,top-level,804,0.8,0.04975124378109453,0.5,0.7702572282555603,40
vector_only,24,10.1007/bf02579174,05-02 05Cxx 05Bxx 11B75 03E05 00A07,top-level,1296,0.84,0.032407407407407406,1.0,0.8659786888658291,42
vector_only,25,10.1080/01445348608837096,03A05 03-03,top-level,233,0.84,0.18025751072961374,1.0,0.8774262601909366,42
vector_only,26,10.1016/0004-3702(84)90008-0,68Q65 03B45 68T20 68Q55,top-level,636,0.9,0.07075471698113207,1.0,0.9189945193940472,45
vector_only,27,10.1016/0004-3702(86)90031-7,03B48,top-level,233,0.24,0.05150214592274678,1.0,0.2929687329866095,12
vector_only,28,10.2307/2001641,03D65,top-level,233,0.8,0.17167381974248927,1.0,0.8393795911491901,40
vector_only,29,10.2307/2268971,03A05,top-level,233,0.8,0.17167381974248927,1.0,0.8497696883238348,40
vector_only,30,10.1007/bf01171114,03E99,top-level,233,0.48,0.10300429184549356,1.0,0.5655810471146305,24
vector_only,31,10.1080/03081070008960961,03E72 54A40,top-level,439,0.7,0.07972665148063782,1.0,0.7777584520360618,35
vector_only,32,10.1016/j.ins.2008.02.012,68T37 03B52 68T50 93C42 94D05,top-level,1156,0.9,0.03892733564013841,1.0,0.9195419325642966,45
vector_only,33,10.1112/jlms/s1-35.1.85,05D05 03E20,top-level,700,0.78,0.055714285714285716,1.0,0.8255296076855146,39
vector_only,34,10.1305/ndjfl/1093637645,03-03 03D10 03F50 01A60,top-level,415,0.94,0.11325301204819277,1.0,0.9492525544833738,47
vector_only,35,10.1007/bf01283841,03B05,top-level,233,0.58,0.12446351931330472,1.0,0.6683322794804252,29
vector_only,36,10.1007/bf01886396,05D10 03E05 03-02 05E10 03E10,top-level,700,0.82,0.05857142857142857,1.0,0.8482668669984827,41
vector_only,37,10.1109/64.331489,03B52 68T37 68T35,top-level,636,0.88,0.06918238993710692,1.0,0.8852271671810862,44
vector_only,38,10.1016/s0022-0000(69)80011-5,03-XX,top-level,233,0.28,0.060085836909871244,1.0,0.301593510067273,14
vector_only,39,10.1016/s0019-9958(65)90241-x,03E72,top-level,233,0.78,0.16738197424892703,1.0,0.8319874428543491,39
vector_only,40,10.1080/01445349508837247,03-03 01A60,top-level,415,0.56,0.06746987951807229,1.0,0.6152969266182141,28
vector_only,41,10.1109/21.52551,93C42 03B52,top-level,508,0.76,0.07480314960629922,1.0,0.7838823334974926,38
vector_only,42,10.2307/2274239,03B99 03A05,top-level,233,0.9,0.19313304721030042,1.0,0.9206478740096343,45
vector_only,43,10.1137/s0097539795293172,11Y05 81P68 03D10 68Q05,top-level,1763,0.9,0.025524673851389675,1.0,0.9221465347634754,45
vector_only,44,10.1007/bf01700692,03F30,top-level,233,0.82,0.1759656652360515,1.0,0.8552300566973233,41
vector_only,45,10.1017/bsl.2021.60,03A05 03F50,top-level,233,0.8,0.17167381974248927,1.0,0.8335494151350534,40
vector_only,46,10.1016/0003-4843(70)90009-4,03E40 03E65 03E50,top-level,233,0.84,0.18025751072961374,1.0,0.8520838165279252,42
vector_only,47,10.2307/2272393,03A05 03-03 03B15 01A60,top-level,415,0.94,0.11325301204819277,1.0,0.9564793557130779,47
vector_only,48,10.1017/s0012217300049271,03A05 01A75 01A60 03-03,top-level,415,0.92,0.1108433734939759,1.0,0.9364094262589526,46
vector_only,49,10.1007/bf01744431,94C10 68Q25 03D15,top-level,903,0.96,0.053156146179401995,1.0,0.9652466155461836,48
vector_only,50,10.1007/bfb0100736,20B07 03D20,top-level,657,0.78,0.0593607305936073,1.0,0.7984890907476552,39
