scenario,bm25_weight,dense_weight,queries,relevance_mode,precision@50,recall@50,mrr@50,ndcg@50
keyword_only,1.0,0.0,50,top-level,0.23040000000000002,0.02331374903063147,0.6116757732315343,0.2692597058776211
vector_only,0.0,1.0,50,top-level,0.7515999999999999,0.09303349427415541,0.9766666666666667,0.7843030397416499
hybrid_50_50,0.5,0.5,50,top-level,0.7391999999999999,0.09162877458678713,0.9766666666666667,0.7758329096886334
hybrid_70_30,0.7,0.3,50,top-level,0.7391999999999999,0.09162877458678713,0.9766666666666667,0.7758329096886334
