scenario,bm25_weight,dense_weight,queries,precision@10,recall@10,mrr@10,ndcg@10
hybrid_50_50,0.5,0.5,613,0.16884176182708024,0.16412547723049933,0.33684585307750076,0.23894364525318604
hybrid_70_30,0.7,0.3,613,0.16884176182708024,0.16412547723049933,0.33684585307750076,0.23894364525318604
