scenario,query_number,query_work_id,relevance_type,total_relevant,precision@10,recall@10,mrr@10,ndcg@10,relevant_found@10
hybrid_70_30,1,10.1090/s0002-9939-09-10039-4,issn,11,0.0,0.0,0.0,0.0,0
hybrid_70_30,2,10.2307/1994939,issn,17,0.1,0.058823529411764705,0.1111111111111111,0.06625422345438903,1
hybrid_70_30,3,10.1073/pnas.36.7.372,issn,19,0.2,0.10526315789473684,0.5,0.21222636597291458,2
hybrid_70_30,4,10.2140/pjm.1996.175.535,issn,5,0.0,0.0,0.0,0.0,0
hybrid_70_30,5,10.1142/s0217751x92003781,issn,2,0.0,0.0,0.0,0.0,0
hybrid_70_30,6,10.1080/00927870600938803,issn,5,0.1,0.2,0.5,0.21398626473452756,1
hybrid_70_30,7,10.2307/1998969,issn,17,0.2,0.11764705882352941,0.2,0.15139734109601002,2
hybrid_70_30,8,10.1090/s0002-9947-1979-0522262-6,issn,17,0.3,0.17647058823529413,1.0,0.40350157154648025,3
hybrid_70_30,9,10.2307/1995637,issn,17,0.1,0.058823529411764705,1.0,0.22009176629808017,1
hybrid_70_30,10,10.1090/s0002-9947-1970-0265437-8,issn,17,0.2,0.11764705882352941,1.0,0.33013764944712026,2
hybrid_70_30,11,10.5802/jolt.977,issn,2,0.0,0.0,0.0,0.0,0
hybrid_70_30,12,10.1016/s0021-8693(02)00097-2,issn,9,0.1,0.1111111111111111,0.5,0.1482972305701491,1
hybrid_70_30,13,10.1080/00927879508825335,issn,5,0.1,0.2,1.0,0.3391602052736161,1
hybrid_70_30,14,10.1073/pnas.83.10.3068,issn,19,0.0,0.0,0.0,0.0,0
hybrid_70_30,15,10.2307/2154659,issn,17,0.1,0.058823529411764705,0.16666666666666666,0.07839826897867533,1
hybrid_70_30,16,10.1007/s11537-006-0505-2,issn,1,0.0,0.0,0.0,0.0,0
hybrid_70_30,17,10.1112/s0024611598000483,issn,1,0.0,0.0,0.0,0.0,0
hybrid_70_30,18,10.1073/pnas.1321358111,issn,19,0.1,0.05263157894736842,0.125,0.06943122193677727,1
hybrid_70_30,19,10.24033/bsmf.1545,issn,1,0.0,0.0,0.0,0.0,0
hybrid_70_30,20,10.1006/jabr.1998.7558,issn,9,0.2,0.2222222222222222,0.25,0.1719843689333808,2
hybrid_70_30,21,10.1016/j.jpaa.2022.107311,issn,3,0.0,0.0,0.0,0.0,0
hybrid_70_30,22,10.1016/0021-8693(89)90241-x,issn,9,0.2,0.2222222222222222,0.2,0.16507664590405338,2
hybrid_70_30,23,10.2307/1968593,issn,11,0.0,0.0,0.0,0.0,0
hybrid_70_30,24,10.1016/j.jpaa.2004.01.002,issn,3,0.0,0.0,0.0,0.0,0
hybrid_70_30,25,10.1006/aima.1997.1681,issn,2,0.1,0.5,0.1,0.17723928678404774,1
hybrid_70_30,26,10.1063/1.532289,issn,5,0.0,0.0,0.0,0.0,0
hybrid_70_30,27,10.1002/cpa.3160260516,issn,1,0.0,0.0,0.0,0.0,0
hybrid_70_30,28,10.1353/ajm.2001.0017,issn,6,0.0,0.0,0.0,0.0,0
