scenario,query_number,query_work_id,relevance_type,total_relevant,precision@10,recall@10,mrr@10,ndcg@10,relevant_found@10
hybrid_50_50,96,10.1007/s10468-011-9280-8,issn,2,0.0,0.0,0.0,0.0,0
hybrid_50_50,97,10.1016/0021-8693(90)90246-k,issn,9,0.1,0.1111111111111111,0.5,0.1482972305701491,1
hybrid_50_50,98,10.1016/j.jalgebra.2005.02.032,issn,9,0.2,0.2222222222222222,0.3333333333333333,0.19587129117873778,2
hybrid_50_50,99,10.1016/j.jalgebra.2003.10.015,issn,9,0.1,0.1111111111111111,0.3333333333333333,0.11752277470724268,1
hybrid_50_50,100,10.1016/j.aim.2005.07.003,issn,2,0.0,0.0,0.0,0.0,0
hybrid_50_50,101,10.1103/physrevd.25.1086,issn,1,0.0,0.0,0.0,0.0,0
hybrid_50_50,102,10.1016/j.geomphys.2004.07.010,issn,1,0.0,0.0,0.0,0.0,0
hybrid_50_50,103,10.1007/bf02102638,issn,7,0.0,0.0,0.0,0.0,0
hybrid_50_50,104,10.1016/s0022-4049(00)00033-5,issn,3,0.1,0.3333333333333333,0.3333333333333333,0.23463936301137822,1
hybrid_50_50,105,10.1016/0022-4049(85)90019-2,issn,3,0.1,0.3333333333333333,0.2,0.18154179253735267,1
hybrid_50_50,106,10.1016/j.jalgebra.2007.12.005,issn,9,0.2,0.2222222222222222,0.5,0.23922526118912793,2
hybrid_50_50,107,10.5802/jolt.560,issn,2,0.0,0.0,0.0,0.0,0
hybrid_50_50,108,10.1090/s0002-9904-1970-12364-3,issn,9,0.0,0.0,0.0,0.0,0
hybrid_50_50,109,10.2969/jmsj/01710084,issn,2,0.0,0.0,0.0,0.0,0
hybrid_50_50,110,10.1007/s002200050079,issn,7,0.0,0.0,0.0,0.0,0
hybrid_50_50,111,10.1007/bf02698925,issn,1,0.0,0.0,0.0,0.0,0
hybrid_50_50,112,10.2307/1970444,issn,11,0.0,0.0,0.0,0.0,0
hybrid_50_50,113,10.1017/s0027763000013398,issn,3,0.1,0.3333333333333333,1.0,0.46927872602275644,1
hybrid_50_50,114,10.1073/pnas.47.1.108,issn,19,0.6,0.3157894736842105,1.0,0.6578986223737446,6
hybrid_50_50,115,10.2307/2372489,issn,6,0.1,0.16666666666666666,0.2,0.11706259313796354,1
hybrid_50_50,116,10.1007/bf02415000,issn,1,0.1,1.0,1.0,1.0,1
hybrid_50_50,117,10.2307/2373245,issn,6,0.2,0.3333333333333333,0.2,0.21793006430423467,2
hybrid_50_50,118,10.1007/978-3-319-96574-1,issn,1,0.0,0.0,0.0,0.0,0
hybrid_50_50,119,10.1007/bf01425451,issn,4,0.0,0.0,0.0,0.0,0
hybrid_50_50,120,10.2307/2372032,issn,6,0.1,0.16666666666666666,0.5,0.19092086617893467,1
hybrid_50_50,121,10.1515/crll.1969.239-240.256,issn,2,0.0,0.0,0.0,0.0,0
hybrid_50_50,122,10.1007/bf02684273,issn,1,0.0,0.0,0.0,0.0,0
hybrid_50_50,123,10.1070/rm1969v024n06abeh001361,issn,6,0.0,0.0,0.0,0.0,0
hybrid_50_50,124,10.1007/bf02411126,issn,1,0.1,1.0,0.5,0.6309297535714575,1
hybrid_50_50,125,10.1090/s0002-9904-1968-12059-2,issn,9,0.0,0.0,0.0,0.0,0
hybrid_50_50,126,10.1073/pnas.20.1.85,issn,19,0.4,0.21052631578947367,1.0,0.501749354207772,4
hybrid_50_50,127,10.2307/1968531,issn,11,0.0,0.0,0.0,0.0,0
hybrid_50_50,128,10.4310/jdg/1214427883,issn,4,0.3,0.75,0.3333333333333333,0.4381618496756866,3
hybrid_50_50,129,10.2307/1403260,issn,1,0.0,0.0,0.0,0.0,0
hybrid_50_50,130,10.1073/pnas.42.3.157,issn,19,0.1,0.05263157894736842,0.25,0.09478836436955078,1
hybrid_50_50,131,10.4310/jdg/1214429278,issn,4,0.1,0.25,1.0,0.3903800499921017,1
hybrid_50_50,132,10.1073/pnas.63.3.640,issn,19,0.1,0.05263157894736842,0.125,0.06943122193677727,1
hybrid_50_50,133,7ae476988c29668a68874c2c223fff6c639ff906,venue,2,0.1,0.5,0.1,0.17723928678404774,1
hybrid_50_50,134,10.1017/s0027763000023503,issn,3,0.1,0.3333333333333333,0.5,0.2960819109658652,1
hybrid_50_50,135,10.1515/crll.2001.059,issn,2,0.0,0.0,0.0,0.0,0
hybrid_50_50,136,10.4310/jdg/1214501132,issn,4,0.0,0.0,0.0,0.0,0
hybrid_50_50,137,10.2307/1995057,issn,17,0.0,0.0,0.0,0.0,0
hybrid_50_50,138,10.1090/s0002-9904-1949-09175-9,issn,9,0.1,0.1111111111111111,0.125,0.07414861528507455,1
hybrid_50_50,139,10.2307/1990151,issn,17,0.0,0.0,0.0,0.0,0
hybrid_50_50,140,10.1073/pnas.41.11.956,issn,19,0.5,0.2631578947368421,1.0,0.627507133061656,5
hybrid_50_50,141,10.2307/2371857,issn,6,0.0,0.0,0.0,0.0,0
hybrid_50_50,142,10.1073/pnas.18.4.340,issn,19,0.6,0.3157894736842105,1.0,0.7222954974312066,6
hybrid_50_50,143,10.1215/s0012-7094-39-00544-2,issn,5,0.1,0.2,0.5,0.21398626473452756,1
hybrid_50_50,144,10.1215/s0012-7094-43-01029-4,issn,5,0.1,0.2,1.0,0.3391602052736161,1
hybrid_50_50,145,10.5802/aif.19,issn,2,0.0,0.0,0.0,0.0,0
hybrid_50_50,146,10.1215/s0012-7094-44-01118-x,issn,5,0.1,0.2,1.0,0.3391602052736161,1
hybrid_50_50,147,10.1016/0165-0114(92)90301-j,issn,2,0.0,0.0,0.0,0.0,0
hybrid_50_50,148,10.1215/s0012-7094-41-00837-2,issn,5,0.1,0.2,0.2,0.13120507751234178,1
hybrid_50_50,149,10.2140/pjm.1965.15.961,issn,5,0.0,0.0,0.0,0.0,0
hybrid_50_50,150,10.1073/pnas.41.11.961,issn,19,0.4,0.21052631578947367,1.0,0.5473983622993502,4
hybrid_50_50,151,10.2307/2007107,issn,11,0.0,0.0,0.0,0.0,0
hybrid_50_50,152,10.1016/0040-9383(87)90009-7,issn,9,0.3,0.3333333333333333,1.0,0.5008655546918772,3
hybrid_50_50,153,10.1016/0040-9383(85)90047-3,issn,9,0.1,0.1111111111111111,1.0,0.23504554941448536,1
hybrid_50_50,154,10.1016/0040-9383(86)90007-8,issn,9,0.1,0.1111111111111111,1.0,0.23504554941448536,1
hybrid_50_50,155,10.2307/2311363,issn,4,0.0,0.0,0.0,0.0,0
hybrid_50_50,156,10.1016/0040-9383(87)90003-6,issn,9,0.3,0.3333333333333333,1.0,0.5008655546918772,3
hybrid_50_50,157,10.1016/0040-9383(87)90025-5,issn,9,0.4,0.4444444444444444,1.0,0.5750141699769518,4
hybrid_50_50,158,10.1016/0040-9383(85)90055-2,issn,9,0.0,0.0,0.0,0.0,0
hybrid_50_50,159,10.1016/0040-9383(87)90004-8,issn,9,0.1,0.1111111111111111,0.25,0.10122860821230018,1
hybrid_50_50,160,10.1016/0040-9383(87)90058-9,issn,9,0.3,0.3333333333333333,1.0,0.5008655546918772,3
hybrid_50_50,161,10.1016/s0393-0440(97)80004-6,issn,1,0.0,0.0,0.0,0.0,0
hybrid_50_50,162,10.1007/bf02392736,issn,1,0.0,0.0,0.0,0.0,0
hybrid_50_50,163,10.1007/bf02102106,issn,7,0.1,0.14285714285714285,0.14285714285714285,0.09162544430476362,1
hybrid_50_50,164,10.4310/jdg/1214448266,issn,4,0.0,0.0,0.0,0.0,0
hybrid_50_50,165,10.1007/bf03024036,issn,2,0.0,0.0,0.0,0.0,0
hybrid_50_50,166,10.1090/s0002-9904-1977-14179-7,issn,9,0.1,0.1111111111111111,0.125,0.07414861528507455,1
hybrid_50_50,167,10.4310/jdg/1214438181,issn,4,0.0,0.0,0.0,0.0,0
hybrid_50_50,168,10.1007/s002220100167,issn,4,0.0,0.0,0.0,0.0,0
hybrid_50_50,169,10.1080/10586458.2000.10504640,issn,1,0.0,0.0,0.0,0.0,0
hybrid_50_50,170,10.1088/0264-9381/15/9/004,issn,1,0.0,0.0,0.0,0.0,0
hybrid_50_50,171,10.1093/qjmath/54.3.281,issn,3,0.0,0.0,0.0,0.0,0
hybrid_50_50,172,10.1112/plms/s3-66.2.381,issn,1,0.0,0.0,0.0,0.0,0
hybrid_50_50,173,10.1090/jams/834,issn,2,0.0,0.0,0.0,0.0,0
hybrid_50_50,174,10.1090/bull/1856,issn,9,0.0,0.0,0.0,0.0,0
hybrid_50_50,175,10.1002/(sici)1097-0118(199911)32:3<298::aid-jgt7>3.0.co;2-u,issn,7,0.0,0.0,0.0,0.0,0
hybrid_50_50,176,10.2307/2046051,issn,11,0.0,0.0,0.0,0.0,0
hybrid_50_50,177,10.1073/pnas.55.6.1624,issn,19,0.0,0.0,0.0,0.0,0
hybrid_50_50,178,10.1070/rm1988v043n01abeh001554,issn,6,0.0,0.0,0.0,0.0,0
hybrid_50_50,179,10.1016/0040-9383(90)90001-z,issn,9,0.0,0.0,0.0,0.0,0
hybrid_50_50,180,10.1007/bf01205673,issn,7,0.0,0.0,0.0,0.0,0
hybrid_50_50,181,10.1016/j.jde.2004.12.003,issn,1,0.0,0.0,0.0,0.0,0
hybrid_50_50,182,10.1007/bf01218467,issn,7,0.1,0.14285714285714285,0.25,0.11838279295536291,1
hybrid_50_50,183,10.1007/bfb0089400,issn,6,0.0,0.0,0.0,0.0,0
hybrid_50_50,184,10.1007/s00220-006-1530-y,issn,7,0.1,0.14285714285714285,0.1111111111111111,0.08274602130532002,1
hybrid_50_50,185,10.1016/j.na.2005.03.111,issn,7,0.4,0.5714285714285714,1.0,0.6730234638881231,4
